ID;Hábito ;Intensidade;Duração ;Relacionamento ;Trabalho;Saúde física;Espiritualidade;Saúde mental
R1;Praticar escuta ativa ;;;5;1;0;0;2
R2;Jantar romântico com esposo(a) sem celular ;;;5;0;0;0;2
R3;Manter contato (Touchbase);;;5;1;0;0;2
R4;Expressar elogios e palavras de amor ;;;5;1;0;1;1
R5;Jantar/almoçar com família sem celular;;;5;0;1;0;2
R6;Jantar/almoçar com amigos sem celular;;;5;0;1;0;2
E1;Ir a uma celebração religiosa de sua preferência ;;;1;0;0;5;1
E2;Rezar;;;0;0;0;5;1
E3;Praticar ato de bondade ;;;2;1;0;5;2
E4;Fazer anotações de gratidão;;;1;1;1;3;2
E5;Agradecer 1 coisa do meu dia ;;;1;1;1;3;2
E6;Agradecer 3 coisas do meu dia ;;;3;3;3;5;5
E7;Ler a bíblia;;;0;0;0;5;1
T1;Executar a rotina da manhã;;;0;5;0;0;0
T2;Revisar o Planejamento anual;;;0;5;0;0;1
T3;Fazer e revisar o Planejamento anual;;;0;5;0;0;1
T4;Fazer e revisar o Planejamento mensal e semanal;;;0;5;0;0;1
T5;Planejar minha semana ;;;1;5;1;1;3
T6;Ampliar a rede de contatos profissionais;;;1;4;0;0;1
T7;"Ativar o modo ""foco"" no trabalho";;;0;5;0;0;1
T8;Realizar sessão de trabalho focado (pomodoro);;;0;4;0;0;0
T9;Assistir um vídeo no youtube relacionado ao tema que você quer aprender (de preferência da sua lista relacionada ao tema);;;0;1;0;0;1
T10;Preparar o ambiente (facilite a leitura);;;0;2;0;0;1
T11;Definir seu local de leitura (espaço livre de celular);;;0;2;0;0;1
T13;Ler resumo de livro do meu tema de aprendizado;;;0;1;1;0;1
T14;Ler livro relacionado ao tema que você quer aprender;;;0;0;0;0;0
T15;Escutar podcast ou TED talks relacionado ao tema que você quer aprender;;;0;1;0;0;1
T16;Colocar vídeos na sua lista do youtube relacionado ao tema que você quer aprender;;;0;1;0;0;1
T17;Dar manutenção na sua lista do youtube (adicionar e retirar vídeos) ;;;0;1;0;0;1
T18;Rever sua estratégia ;;;0;1;0;0;1
SF1;Beber água ;;;0;0;1;0;0
SF2;Preparar o quarto;;;0;0;2;0;1
SF3;Fazer um ritual de relaxamento;;;0;0;2;0;1
SF4;Escrever diário do sono ;;;0;0;2;0;1
SF5;Dormir de 7 a 9 horas ;;;0;1;5;0;3
SF6;Evitar o consumo de cafeína após as 15:00;;;0;0;3;0;2
SF7;Fazer diário alimentar ;;;0;0;2;0;0
SF8;Comer fruta ;;;0;0;3;0;1
SF9;Comer fonte de carboidrato complexo ;;;0;0;3;0;1
SF10;Comer proteína nas refeições (ingestão adequade de proteína) ;;;0;0;3;0;1
SF11;Comer legumes e salada;;;0;0;3;0;1
SF12;Fazer exercício de força ;Leve;Até 20 min;0;0;1;0;1
SF1212;Fazer exercício de força ;Leve;De 21 a 40 min;0;1;2;0;2
SF1213;Fazer exercício de força ;Leve;Mais de 40 min;0;2;3;0;3
SF1221;Fazer exercício de força ;Moderada;Até 20 min;0;0;2;0;2
SF1222;Fazer exercício de força ;Moderada;De 21 a 40 min;0;2;3;0;3
SF1223;Fazer exercício de força ;Moderada;Mais de 40 min;0;3;5;0;5
SF1231;Fazer exercício de força ;Intensa;Até 20 min;0;1;3;0;3
SF1232;Fazer exercício de força ;Intensa;De 21 a 40 min;0;3;4;0;4
SF1233;Fazer exercício de força ;Intensa;Mais de 40 min;0;5;5;0;5
SF13;Fazer exercício de cardio/aeróbico  ;Leve;Até 20 min;0;0;1;0;1
SF1312;Fazer exercício de cardio/aeróbico  ;Leve;De 21 a 40 min;0;1;2;0;2
SF1313;Fazer exercício de cardio/aeróbico  ;Leve;Mais de 40 min;0;2;3;0;3
SF1321;Fazer exercício de cardio/aeróbico  ;Moderada;Até 20 min;0;0;2;0;2
